date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:59	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202019%2007:34:58%20GMT	http://localhost/robots.txt		(from )
14:35:04	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:34:58%20GMT	http://localhost/banhang-vongda/	D:/banhang-vongda/localhost/banhang-vongda/index.html	(from )
14:35:04	70286/70286	---M--	200	added ('OK')	text/css	etag:%221128e-587af3b69c4c0%22	http://localhost/banhang-vongda/wp-content/themes/denled-web3giay/style1.css	D:/banhang-vongda/localhost/banhang-vongda/wp-content/themes/denled-web3giay/style1.css	(from http://localhost/banhang-vongda/)
14:35:06	25242/25242	---M--	200	added ('OK')	text/css	etag:%22629a-57ea707ad7640%22	http://localhost/banhang-vongda/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	D:/banhang-vongda/localhost/banhang-vongda/wp-includes/css/dist/block-library/style.min3c21.css	(from http://localhost/banhang-vongda/)
14:35:06	6362/6362	---M--	200	added ('OK')	text/css	etag:%2218da-5876679e8fe00%22	http://localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/blocks/style.css?ver=3.6.2	D:/banhang-vongda/localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/blocks/style822f.css	(from http://localhost/banhang-vongda/)
14:35:08	16542/16542	---M--	200	added ('OK')	text/css	etag:%22409e-5876679ebec0b%22	http://localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.6.2	D:/banhang-vongda/localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/woocommerce-layout822f.css	(from http://localhost/banhang-vongda/)
14:35:08	6758/6758	---M--	200	added ('OK')	text/css	etag:%221a66-5876679ec1704%22	http://localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.6.2	D:/banhang-vongda/localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen822f.css	(from http://localhost/banhang-vongda/)
14:35:10	2452/2452	---M--	200	added ('OK')	application/rss+xml	etag:%2280bf41ab411679b112220f7f03eadb12%22	http://localhost/banhang-vongda/comments/feed/	D:/banhang-vongda/localhost/banhang-vongda/comments/feed/index.html	(from http://localhost/banhang-vongda/)
14:35:10	62586/62586	---M--	200	added ('OK')	text/css	etag:%22f47a-5876679ec325c%22	http://localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.6.2	D:/banhang-vongda/localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/css/woocommerce822f.css	(from http://localhost/banhang-vongda/)
14:35:12	16592/16592	---M--	200	added ('OK')	text/css	etag:%2240d0-5878e460b85cc%22	http://localhost/banhang-vongda/wp-content/themes/denled-web3giay/style.css?ver=5.1.1	D:/banhang-vongda/localhost/banhang-vongda/wp-content/themes/denled-web3giay/style3c21.css	(from http://localhost/banhang-vongda/)
